screen name,user id
ValkyriePatriot,7.72e+17
BaisAzadi,3074965182.0
PmL_Wargwa,834944234.0
NYalliance,268531304.0
rXXklessss,2996919867.0
BaconTribe,2823415030.0
HankTheFlank,8.16e+17
hammergohammer,2535716610.0
DennisThomas33,7.36e+17
donnymadill,52436904.0
BadIrishGoyim,9e+17
supanomi,7.53e+17
devon_tx,2644062121.0
Yvng_baller_7,8.54e+17
BiteHunter,56574918.0
anelli_joseph,8.66e+17
Kathy4275,8.97e+17
WhiteMuslimJedi,121488456.0
festuche,2586238849.0
Thefly3st,3083048566.0
jake_gossum,8.91e+17
PatTxguy77,512481228.0
MccartyDarrian,8.99e+17
ND7889,9.07e+17
whitet622,313091571.0
matt_urban1a,8.23e+17
bradjschmall,8.9e+17
Wayne_MAGA,8.98e+17
Stahove1,8.24e+17
ccbarritt,3974137947.0
burrmank3,8.35e+17
LS5Vendetta,9.04e+17
untwin34,39741214.0
KoopCF76,8.91e+17
jbianucci,16714386.0
rmesi14,243814596.0
marycok17714833,8.26e+17
tjheeney3,8.38e+17
deoppressolibe2,4805515297.0
mariorivera8166,7.84e+17
altavilla1955,7.03e+17
b_wag98,922206780.0
theobscurant,331134407.0
SaintBarbara,18968102.0
a1dogie,7.69e+17
PalumboGeorge,8.81e+17
vincolij,422650814.0
TBobcat9,2492759569.0
WesleyBBeshears,320359205.0
usafflyer,421372504.0
JPDosey,7.08e+17
DorazilTom,8.71e+17
Bkrenfro5Renfro,2902859852.0
canadavsterror,2360258826.0
TomeyCharles,4793647068.0
dlwick1,2941359554.0
abetterwest,7.54e+17
anitaburnsalan1,7.01e+17
_Nimssss,2480662352.0
hotrocksyes,102803388.0
lowell_rice,3808314734.0
silasxoxo,7.72e+17
Nyassuo,2387222215.0
RobertDMarshal1,2167187664.0
VDzeladini,1920286692.0
WallyRayJ,609310502.0
PhillyHonest,447280935.0
DrippToxic,3795819494.0
americaman8v3,8.93e+17
DoyurjobSOXTB12,3226275190.0
glenitsmetrish,7.48e+17
JimmyJMack,8.06e+17
wcp69597,4698410358.0
Roberta4Trump,7.54e+17
Bad1960,458693076.0
DonnaMWaldrop,4827632170.0
motuckyblues,7.41e+17
truckerbob3007,15834269.0
JPantsDotCom,3315370950.0
TheRealShoah,8.86e+17
RodneyStanley10,8.48e+17
billy_philley,732057710.0
DayKenner,7.34e+17
DarLovesAmerica,216498790.0
oneforoblivion,3111746156.0
blackwood2009,87862287.0
Jedi057,309943119.0
BoccaStiffy,52775929.0
CountrySympl,788490026.0
cyote6,139719874.0
Bantu_Rhino,8.85e+17
GlennFolse1,8.07e+17
fantomfan56,8.08e+17
charleszjuliet,436053303.0
Acguiredtaste,1589077634.0
US_Army_Vet,4826510725.0
sneezerweez,7.77e+17
LordGoudin,7.73e+17
THEDINGOJOHNSON,293647754.0
Mahogany1992,424370015.0
TaylorLatre,63562506.0
_qualeman91,63649416.0
Conscious1962,17698029.0
313ways2succeed,28468471.0
SaintANDSinner,94519746.0
thelastNoOne,101862954.0
PIRATES_SMOKE_,228900535.0
mayapology,434476992.0
HakeemDaBeast,67350705.0
purplethraxxx_,309849970.0
og_cope,112311932.0
LordTrilliam,87337590.0
itri_nuru,8.78e+17
Essence_Marie,19685518.0
300dollajeans,219135463.0
Kinghenry0,7.98e+17
ElMejor10i,4398872314.0
jabali21,280720163.0
MssWashington,33659072.0
JDidda,15889681.0
CMackMost,231453290.0
slayinique,349137754.0
Joveeeeeeeeee,2951822704.0
RELL_757_ALLEN,106258712.0
lildeja_,37582460.0
pray4lloyd,61912052.0
ebabesmusiq,438680046.0
tdg_tom,1477123369.0
SedeVacanteKY,9.03e+17
Bizzy_Balboa,32974574.0
F14Warrior,961904293.0
A_Necessary_Evl,7.41e+17
GenericSaidSlow,186894954.0
uHateBre,293556733.0
leekylive,8.15e+17
maiyahall,410082271.0
ibwriting,84890792.0
YoursTrulyTheDj,93095417.0
CalabasasCas,492330533.0
OhhSolo_,128316494.0
theGreatFrankD,7.89e+17
moneymorena,8.56e+17
AltBoosterGold,27275057.0
teflonink,745182517.0
LeezyStayDippN,227284129.0
GudieTuSchuez,8.7e+17
UndeniableQueen,21144485.0
chrishinca42,839063761.0
rondtjr,1232827074.0
terroirnoir,2614211058.0
omanitsomar,298913220.0
_CanYouLive,128923812.0
chunkyluv100,415341461.0
JetsGoChris,212856787.0
BABYSAYTANA,2942026879.0
locknesmonsta72,37334953.0
Super_Sic_o,4514333315.0
deondreblair,604627935.0
Tu_TwoTimes,344324691.0
Rapture_Omega,210619451.0
HankPettit,7.28e+17
Mariah_Cara,24982298.0
letTREspeak,2456202454.0
AveryMiles16,2327714629.0
scott325,14242997.0
Vondulce,21012889.0
Brodor33,2293901208.0
ksethu17,7.08e+17
alicialyn5,88565725.0
tentardis,2767740011.0
Minenorin,234310168.0
Killer_toons,2917043143.0
glo4itnow,264314347.0
WestJordan29th,1917296580.0
El_Tapatio96,8.32e+17
Spatial_Punk,8363812.0
redjujufish,3091766863.0
b_holdenMF,130335245.0
SeanMcGann98,2430747229.0
Blain40798196,8.66e+17
brownthomas137,8.5e+17
EternalRainbows,1739696372.0
erinashleyisab2,9e+17
TockTockTock,8.36e+17
chedz007,1240917696.0
TedSTDepi,7.43e+17
ANTlRACIST,9.04e+17
JayTerranova,531698737.0
BarronTrumpLeak,216055083.0
bacardi__goldd,1959316752.0
StateIsles,8.59e+17
PixelBurd,2273500376.0
Harrytraylor4,8.19e+17
natalieduncann,8.98e+17
thecmshop,3190905184.0
802_bassin,1120369874.0
1984or1776,263061295.0
AbsoluteBezo,1274418384.0
nurotoxxyn29A,896149710.0
wtCali,2343924872.0
alllexdrago,305107496.0
_telaaa,538483872.0
asvpxdevon,4587996138.0
generalsuper,324559891.0
Grachious,851998922.0
OnTheRight312,137060102.0
KingChinoAli,8.69e+17
Stakum619,998456473.0
BinduVyas1,540817681.0
countiuo67,8.91e+17
JENNIFER_geen65,8.9e+17
Pamela_linh2,8.9e+17
vanity76vee,8.91e+17
theycallher_kee,8.91e+17
Sherrylgy,332699347.0
Caroll445,81880278.0
Kelly_socute2,160681652.0
Veolaxwb,332699565.0
Ingeiad,332699967.0
Janeisbae2,137714164.0
Rhondavfj,332700034.0
Donniejic,332699285.0
Lynodm,332699681.0
Deannereo,332707903.0
theyc4llmeCeci,35448697.0
Deonnapxh,332701011.0
Shannaboo99,296546096.0
Sayona_me,101053732.0
Glenn_plusme,332707868.0
TeeTee_873,123059676.0
Very_ladylike23,130792905.0
Pinky443Love,332707947.0
Shanta_Punny,332707873.0
Trerica_yy,49581286.0
Yolandoehs,332700533.0
Riaclo,332700334.0
Juliajrx,332699288.0
Kayceegkq,332699282.0
bae_isher,147312334.0
Enrique_youknow,332708150.0
Amelia_willamso,117833855.0
Lunatls,332699357.0
lala_free34,522592910.0
Ashanti_isthena,332708120.0
Jane_Teee3,197474287.0
No_gamesVaneish,121171067.0
Allie_withlove,23173179.0
Luciennewug,332701061.0
brainna4tree,301067388.0
Gilberteusr,332699325.0
PrettyFannie34,136445357.0
silky_75g,217459417.0
Judez_Rubby,332707755.0
Ashantisaw,332699638.0
Shebad34_shegod,54938842.0
Juanita_Vee4,124236703.0
Katiazlb,332699533.0
Burma_Gram17,332707771.0
Cuban_Cutie2,99754273.0
santaliz59,368274291.0
Clariszpe,332700285.0
Leotarix,332699520.0
Gloriaboon5,125801532.0
Dedraiue,332699766.0
Dina_fortheword,332707831.0
pauly8m3,7.86e+17
Rondo2,23584599.0
DomitiaHonoria,8.4e+17
LanceBrutcaster,8.68e+17
Local_Terrorism,3096547548.0
Oliver_W8,2596617636.0
trusick,362555146.0
alexa_haves,201015676.0
lil_yenta,79856192.0
kyleheil4,9.12e+17
reactiontorrent,8.7e+17
Karey1975,1966026648.0
Subwannabe,8.35e+17
emoright,8.65e+17
ralfeecakes,170193754.0
JonesBaileyj174,2707591494.0
BSVLMJ,227474177.0
Teressastone4,7.87e+17
marshlands,23981314.0
JoshuaA06476254,8.21e+17
